image_name,source_frame_index,time_seconds,source_video,source_width,source_height,source_fps
frame_000000.jpg,0,0.0,duong_pho_sg(3).mp4,1280,720,59.94
frame_000007.jpg,7,0.117,duong_pho_sg(3).mp4,1280,720,59.94
frame_000015.jpg,15,0.25,duong_pho_sg(3).mp4,1280,720,59.94
frame_000023.jpg,23,0.384,duong_pho_sg(3).mp4,1280,720,59.94
frame_000031.jpg,31,0.517,duong_pho_sg(3).mp4,1280,720,59.94
frame_000039.jpg,39,0.651,duong_pho_sg(3).mp4,1280,720,59.94
frame_000047.jpg,47,0.784,duong_pho_sg(3).mp4,1280,720,59.94
frame_000055.jpg,55,0.918,duong_pho_sg(3).mp4,1280,720,59.94
frame_000062.jpg,62,1.034,duong_pho_sg(3).mp4,1280,720,59.94
frame_000070.jpg,70,1.168,duong_pho_sg(3).mp4,1280,720,59.94
frame_000078.jpg,78,1.301,duong_pho_sg(3).mp4,1280,720,59.94
frame_000086.jpg,86,1.435,duong_pho_sg(3).mp4,1280,720,59.94
frame_000094.jpg,94,1.568,duong_pho_sg(3).mp4,1280,720,59.94
frame_000102.jpg,102,1.702,duong_pho_sg(3).mp4,1280,720,59.94
frame_000110.jpg,110,1.835,duong_pho_sg(3).mp4,1280,720,59.94
frame_000118.jpg,118,1.969,duong_pho_sg(3).mp4,1280,720,59.94
frame_000125.jpg,125,2.085,duong_pho_sg(3).mp4,1280,720,59.94
frame_000133.jpg,133,2.219,duong_pho_sg(3).mp4,1280,720,59.94
frame_000141.jpg,141,2.352,duong_pho_sg(3).mp4,1280,720,59.94
frame_000149.jpg,149,2.486,duong_pho_sg(3).mp4,1280,720,59.94
frame_000157.jpg,157,2.619,duong_pho_sg(3).mp4,1280,720,59.94
frame_000165.jpg,165,2.753,duong_pho_sg(3).mp4,1280,720,59.94
frame_000173.jpg,173,2.886,duong_pho_sg(3).mp4,1280,720,59.94
frame_000180.jpg,180,3.003,duong_pho_sg(3).mp4,1280,720,59.94
frame_000188.jpg,188,3.136,duong_pho_sg(3).mp4,1280,720,59.94
frame_000196.jpg,196,3.27,duong_pho_sg(3).mp4,1280,720,59.94
frame_000204.jpg,204,3.403,duong_pho_sg(3).mp4,1280,720,59.94
frame_000212.jpg,212,3.537,duong_pho_sg(3).mp4,1280,720,59.94
frame_000220.jpg,220,3.67,duong_pho_sg(3).mp4,1280,720,59.94
frame_000228.jpg,228,3.804,duong_pho_sg(3).mp4,1280,720,59.94
frame_000236.jpg,236,3.937,duong_pho_sg(3).mp4,1280,720,59.94
frame_000243.jpg,243,4.054,duong_pho_sg(3).mp4,1280,720,59.94
frame_000251.jpg,251,4.188,duong_pho_sg(3).mp4,1280,720,59.94
frame_000259.jpg,259,4.321,duong_pho_sg(3).mp4,1280,720,59.94
frame_000267.jpg,267,4.454,duong_pho_sg(3).mp4,1280,720,59.94
frame_000275.jpg,275,4.588,duong_pho_sg(3).mp4,1280,720,59.94
frame_000283.jpg,283,4.721,duong_pho_sg(3).mp4,1280,720,59.94
frame_000291.jpg,291,4.855,duong_pho_sg(3).mp4,1280,720,59.94
frame_000299.jpg,299,4.988,duong_pho_sg(3).mp4,1280,720,59.94
frame_000306.jpg,306,5.105,duong_pho_sg(3).mp4,1280,720,59.94
frame_000314.jpg,314,5.239,duong_pho_sg(3).mp4,1280,720,59.94
frame_000322.jpg,322,5.372,duong_pho_sg(3).mp4,1280,720,59.94
frame_000330.jpg,330,5.506,duong_pho_sg(3).mp4,1280,720,59.94
frame_000338.jpg,338,5.639,duong_pho_sg(3).mp4,1280,720,59.94
frame_000346.jpg,346,5.772,duong_pho_sg(3).mp4,1280,720,59.94
frame_000354.jpg,354,5.906,duong_pho_sg(3).mp4,1280,720,59.94
frame_000361.jpg,361,6.023,duong_pho_sg(3).mp4,1280,720,59.94
frame_000369.jpg,369,6.156,duong_pho_sg(3).mp4,1280,720,59.94
frame_000377.jpg,377,6.29,duong_pho_sg(3).mp4,1280,720,59.94
frame_000385.jpg,385,6.423,duong_pho_sg(3).mp4,1280,720,59.94
frame_000393.jpg,393,6.557,duong_pho_sg(3).mp4,1280,720,59.94
frame_000401.jpg,401,6.69,duong_pho_sg(3).mp4,1280,720,59.94
frame_000409.jpg,409,6.823,duong_pho_sg(3).mp4,1280,720,59.94
frame_000417.jpg,417,6.957,duong_pho_sg(3).mp4,1280,720,59.94
frame_000424.jpg,424,7.074,duong_pho_sg(3).mp4,1280,720,59.94
frame_000432.jpg,432,7.207,duong_pho_sg(3).mp4,1280,720,59.94
frame_000440.jpg,440,7.341,duong_pho_sg(3).mp4,1280,720,59.94
frame_000448.jpg,448,7.474,duong_pho_sg(3).mp4,1280,720,59.94
frame_000456.jpg,456,7.608,duong_pho_sg(3).mp4,1280,720,59.94
frame_000464.jpg,464,7.741,duong_pho_sg(3).mp4,1280,720,59.94
frame_000472.jpg,472,7.875,duong_pho_sg(3).mp4,1280,720,59.94
frame_000479.jpg,479,7.991,duong_pho_sg(3).mp4,1280,720,59.94
frame_000487.jpg,487,8.125,duong_pho_sg(3).mp4,1280,720,59.94
frame_000495.jpg,495,8.258,duong_pho_sg(3).mp4,1280,720,59.94
frame_000503.jpg,503,8.392,duong_pho_sg(3).mp4,1280,720,59.94
frame_000511.jpg,511,8.525,duong_pho_sg(3).mp4,1280,720,59.94
frame_000519.jpg,519,8.659,duong_pho_sg(3).mp4,1280,720,59.94
frame_000527.jpg,527,8.792,duong_pho_sg(3).mp4,1280,720,59.94
frame_000535.jpg,535,8.926,duong_pho_sg(3).mp4,1280,720,59.94
frame_000542.jpg,542,9.042,duong_pho_sg(3).mp4,1280,720,59.94
frame_000550.jpg,550,9.176,duong_pho_sg(3).mp4,1280,720,59.94
frame_000558.jpg,558,9.309,duong_pho_sg(3).mp4,1280,720,59.94
frame_000566.jpg,566,9.443,duong_pho_sg(3).mp4,1280,720,59.94
frame_000574.jpg,574,9.576,duong_pho_sg(3).mp4,1280,720,59.94
frame_000582.jpg,582,9.71,duong_pho_sg(3).mp4,1280,720,59.94
frame_000590.jpg,590,9.843,duong_pho_sg(3).mp4,1280,720,59.94
frame_000598.jpg,598,9.977,duong_pho_sg(3).mp4,1280,720,59.94
frame_000605.jpg,605,10.093,duong_pho_sg(3).mp4,1280,720,59.94
frame_000613.jpg,613,10.227,duong_pho_sg(3).mp4,1280,720,59.94
frame_000621.jpg,621,10.36,duong_pho_sg(3).mp4,1280,720,59.94
frame_000629.jpg,629,10.494,duong_pho_sg(3).mp4,1280,720,59.94
frame_000637.jpg,637,10.627,duong_pho_sg(3).mp4,1280,720,59.94
frame_000645.jpg,645,10.761,duong_pho_sg(3).mp4,1280,720,59.94
frame_000653.jpg,653,10.894,duong_pho_sg(3).mp4,1280,720,59.94
frame_000660.jpg,660,11.011,duong_pho_sg(3).mp4,1280,720,59.94
frame_000668.jpg,668,11.144,duong_pho_sg(3).mp4,1280,720,59.94
frame_000676.jpg,676,11.278,duong_pho_sg(3).mp4,1280,720,59.94
frame_000684.jpg,684,11.411,duong_pho_sg(3).mp4,1280,720,59.94
frame_000692.jpg,692,11.545,duong_pho_sg(3).mp4,1280,720,59.94
frame_000700.jpg,700,11.678,duong_pho_sg(3).mp4,1280,720,59.94
frame_000708.jpg,708,11.812,duong_pho_sg(3).mp4,1280,720,59.94
frame_000716.jpg,716,11.945,duong_pho_sg(3).mp4,1280,720,59.94
frame_000723.jpg,723,12.062,duong_pho_sg(3).mp4,1280,720,59.94
frame_000731.jpg,731,12.196,duong_pho_sg(3).mp4,1280,720,59.94
frame_000739.jpg,739,12.329,duong_pho_sg(3).mp4,1280,720,59.94
frame_000747.jpg,747,12.462,duong_pho_sg(3).mp4,1280,720,59.94
frame_000755.jpg,755,12.596,duong_pho_sg(3).mp4,1280,720,59.94
